2025-03-23 11:45:05.239 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-Brenda\data\prepared\customers_data_prepared.csv
2025-03-23 11:45:05.239 | INFO     | __main__:main:85 - ========================
2025-03-23 11:45:05.240 | INFO     | __main__:main:86 - Starting PRODUCTS prep
2025-03-23 11:45:05.240 | INFO     | __main__:main:87 - ========================
2025-03-23 11:45:05.248 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-Brenda\data\prepared\products_data_prepared.csv
2025-03-23 11:45:05.249 | INFO     | __main__:main:103 - ========================
2025-03-23 11:45:05.249 | INFO     | __main__:main:104 - Starting SALES prep
2025-03-23 11:45:05.249 | INFO     | __main__:main:105 - ========================
2025-03-23 11:45:05.266 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-Brenda\data\prepared\sales_data_prepared.csv
2025-03-23 11:45:05.267 | INFO     | __main__:main:124 - ======================
2025-03-23 11:45:05.267 | INFO     | __main__:main:125 - FINISHED data_prep.py
2025-03-23 11:45:05.267 | INFO     | __main__:main:126 - ======================
2025-03-23 13:12:52.435 | INFO     | __main__:main:59 - ======================
2025-03-23 13:12:52.435 | INFO     | __main__:main:60 - STARTING data_prep.py
2025-03-23 13:12:52.436 | INFO     | __main__:main:61 - ======================
2025-03-23 13:12:52.436 | INFO     | __main__:main:63 - ========================
2025-03-23 13:12:52.436 | INFO     | __main__:main:64 - Starting CUSTOMERS prep
2025-03-23 13:12:52.436 | INFO     | __main__:main:65 - ========================
2025-03-23 13:12:52.449 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-Brenda\data\prepared\customers_data_prepared.csv
2025-03-23 13:12:52.449 | INFO     | __main__:main:85 - ========================
2025-03-23 13:12:52.449 | INFO     | __main__:main:86 - Starting PRODUCTS prep
2025-03-23 13:12:52.449 | INFO     | __main__:main:87 - ========================
2025-03-23 13:12:52.456 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-Brenda\data\prepared\products_data_prepared.csv
2025-03-23 13:12:52.456 | INFO     | __main__:main:103 - ========================
2025-03-23 13:12:52.457 | INFO     | __main__:main:104 - Starting SALES prep
2025-03-23 13:12:52.457 | INFO     | __main__:main:105 - ========================
2025-03-23 13:12:52.472 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-Brenda\data\prepared\sales_data_prepared.csv
2025-03-23 13:12:52.472 | INFO     | __main__:main:124 - ======================
2025-03-23 13:12:52.473 | INFO     | __main__:main:125 - FINISHED data_prep.py
2025-03-23 13:12:52.473 | INFO     | __main__:main:126 - ======================
